Location    Name
eastus2     Microsoft.Azure.Extensions.Test9eb5efa5-c3c1-4c13-80a6-11f5eba67372-20200108144852
eastus2     Microsoft.Azure.Extensions.Testa3791896-b1fc-491e-ba0d-aefcd8d9e52a-20200105083503
eastus2     Microsoft.Azure.Extensions.Testa37ff709-a078-45a0-8187-41733df8e101-20200109050003
eastus2     Microsoft.Azure.Extensions.Testa4c5fe4e-936e-4be1-a612-a331aff54a8c-20200111105055
eastus2     Microsoft.Azure.Extensions.Testa59bce1d-e32c-423d-a86e-945d4aeb98b4-20200107051821
eastus2     Microsoft.Azure.Extensions.Testa604c059-8279-4f4d-a354-eec27222a06c-20200111051514
eastus2     Microsoft.Azure.Extensions.Testa71fefb1-0d9c-4fb3-8d3d-5dcd12d72b77-20200103103221
eastus2     Microsoft.Azure.Extensions.Testa748013d-c5a6-44f9-88eb-43167207c742-20200111051402
eastus2     Microsoft.Azure.Extensions.Testaab67022-4f2b-420d-a06a-2c4045110cdf-20191229033144
eastus2     Microsoft.Azure.Extensions.Testacab9541-280f-4491-9f49-ac57653f0a07-20200105083839
eastus2     Microsoft.Azure.Extensions.Testad298437-0349-4cc7-88a9-d8aabcba9df1-20191002233431
eastus2     Microsoft.Azure.Extensions.Testadd68286-f9e0-4ab1-a526-d8f3cf0f054e-20200105084128
eastus2     Microsoft.Azure.Extensions.Testade4c52b-18f5-4b67-8e93-945358ce4f7d-20191007234259
eastus2     Microsoft.Azure.Extensions.Testae421c1d-0211-4ef2-b372-564ce8ad484a-20200110104035
eastus2     Microsoft.Azure.Extensions.Testafbbd8bf-aec5-48bf-8fea-73fa15ccc315-20191001224727
eastus2     Microsoft.Azure.Extensions.Testb15148bf-78d2-42d4-ad08-b3ad8fb4b122-20200101084759
eastus2     Microsoft.Azure.Extensions.Testb4237708-3688-40ea-85a2-275c05f4d100-20191228083519
eastus2     Microsoft.Azure.Extensions.Testb799a18f-be45-4c5c-8438-163ac2e1f1e7-20191004190529
eastus2     Microsoft.Azure.Extensions.Testb7cee88a-e5ac-4af4-99c8-7247020b00c3-20200105051201
eastus2     Microsoft.Azure.Extensions.Testb7df0d9a-27c0-4ca5-b692-08dd90387b98-20200111083443
eastus2     Microsoft.Azure.Extensions.Testbbf6bf32-4bd0-4381-b8f7-2658f585df4d-20191003203846
eastus2     Microsoft.Azure.Extensions.Testbeea1376-166a-4b1a-8923-c907cc9737d9-20200107013336
eastus2     Microsoft.Azure.Extensions.Testbf9154e9-6166-48c2-86fe-1f331be606d7-20200107051823
